Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;-0,228519;0,426970;0,477632;4,359495;5173,185535;-2598188372,773599;0,001704;0,040000;0,441106;0,089677;0,387955;0,932624;0,883117;0,685682;0,048576;0,005923;0,006258;500,000000;149,844446;29,873424;14,048602;2,334967;1,015875;3,045221;6,000000
2;-0,215282;0,364060;0,475967;4,445043;5347,238075;-2921241305,447293;0,003982;0,040000;0,501140;0,080518;0,395449;0,903915;0,871137;0,691574;0,033445;0,007738;0,003755;500,000000;149,678092;29,832839;13,892007;2,284894;1,023297;3,031332;6,000000
3;-0,188055;0,233560;0,449847;4,584059;5727,414594;-3619372341,181897;0,002593;0,040000;0,642750;0,078186;0,371662;0,904594;0,846154;0,640810;0,026756;0,008640;0,008750;500,000000;149,724433;29,764131;12,334198;2,129995;1,019399;3,078744;6,000000
4;-0,113463;0,146100;0,265277;4,670078;6068,248179;-4531887099,650582;0,002700;0,040000;0,882469;0,081647;0,183630;0,861111;0,801819;0,244962;0,030151;0,008656;0,011264;500,000000;149,478437;29,628418;8,823776;2,223952;1,026456;3,079840;6,000000
5;-0,215540;0,366040;0,477588;4,445668;5344,334777;-2904436512,209494;0,001636;0,040000;0,499593;0,080786;0,396801;0,897436;0,860571;0,698002;0,048576;0,005000;0,002500;500,000000;149,694445;29,807614;13,935450;2,262096;1,011121;3,025804;6,000000
6;-0,193059;0,255460;0,457454;4,571125;5672,066898;-3499035660,405807;0,003225;0,040000;0,614719;0,082136;0,375318;0,925795;0,848921;0,653367;0,040404;0,007731;0,007528;500,000000;149,778166;29,758162;12,423431;2,269504;1,025898;3,062976;6,000000
7;-0,211655;0,347660;0,469873;4,472462;5399,430065;-3009944096,559280;0,002741;0,040000;0,519448;0,083027;0,386846;0,887273;0,860404;0,681331;0,041667;0,009103;0,005000;500,000000;149,576472;29,827504;13,617055;2,203973;1,026026;3,027060;6,000000
8;-0,200844;0,294700;0,461939;4,529796;5559,367192;-3254988916,463704;0,002408;0,040000;0,570335;0,080816;0,381122;0,873684;0,849279;0,668185;0,046823;0,005000;0,011250;500,000000;149,651603;29,789115;13,137798;2,269209;1,012645;3,075452;6,000000
9;-0,079718;0,121190;0,208565;4,692100;6159,095399;-4701526887,746657;0,004514;0,040000;0,978694;0,066923;0,141642;0,874126;0,781534;0,125364;0,030050;0,010009;0,011292;500,000000;149,638992;29,500812;8,216753;2,259756;1,033611;3,094455;6,000000
10;-0,208931;0,330230;0,478088;4,491696;5446,579265;-3098810969,119617;0,002234;0,040000;0,535579;0,082960;0,395128;0,925532;0,882889;0,688636;0,048658;0,004096;0,006250;500,000000;149,769665;29,829361;13,476228;2,224001;1,014888;3,043402;6,000000
11;-0,215873;0,367920;0,479784;4,443263;5335,795331;-2891519932,460131;0,004587;0,040000;0,498897;0,079743;0,400041;0,892361;0,887278;0,694722;0,036913;0,005912;0,008772;500,000000;149,696917;29,856663;13,810531;2,261699;1,016558;3,063857;6,000000
12;-0,219668;0,387210;0,473314;4,417741;5280,774849;-2800805482,232238;0,003143;0,040000;0,480761;0,083376;0,389938;0,935018;0,864230;0,684474;0,038655;0,008189;0,003759;500,000000;149,725662;29,827543;13,896262;2,289637;1,028450;3,040931;6,000000
