Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,286842;0,086080;0,126198;5,326418;7858,411513;1302294390,381110;0,003445;0,250000;6,354233;0,067487;0,058711;0,845070;0,271919;0,120431;0,036789;0,006824;0,011250;2750,000000;61,544513;10,761432;5,149802;2,013799;1,001030;3,005152;6,000000
2;0,305262;0,079020;0,119000;5,350107;7936,328149;224847857,224110;0,006148;0,250000;7,028091;0,057685;0,061315;0,800699;0,254140;0,114369;0,033557;0,004552;0,013767;2750,000000;60,613298;10,698688;5,144591;2,011711;1,000620;3,003743;6,000000
3;0,305193;0,079770;0,121892;5,358287;7932,421201;-480415717,952767;0,003320;0,250000;7,305392;0,060393;0,061500;0,841379;0,264390;0,112181;0,030050;0,009545;0,011264;2750,000000;60,721536;10,712552;5,133377;2,009613;1,001501;3,004620;6,000000
4;0,316969;0,074050;0,108674;5,373871;7994,125717;-1577640301,128852;0,003429;0,250000;7,872634;0,060576;0,048098;0,794425;0,236709;0,099017;0,036789;0,004548;0,003750;2750,000000;60,408811;10,626867;5,108696;2,012641;1,000697;3,001788;6,000000
5;0,292521;0,083170;0,127797;5,328898;7884,720078;1338518396,326655;0,003642;0,250000;6,410261;0,061076;0,066720;0,845878;0,267302;0,127936;0,025000;0,006824;0,011264;2750,000000;61,014185;10,733997;5,168368;2,010491;1,001319;3,004128;6,000000
6;0,274211;0,091400;0,140008;5,311818;7804,688652;1849806813,032560;0,003260;0,250000;5,959318;0,070608;0,069400;0,866197;0,327858;0,131885;0,035176;0,005005;0,005000;2750,000000;61,553400;10,903493;5,167165;2,013182;1,000913;3,001225;6,000000
7;0,304552;0,078770;0,120605;5,347404;7933,280866;292010662,413511;0,002429;0,250000;6,985611;0,057028;0,063577;0,809859;0,272152;0,111136;0,035058;0,005912;0,008750;2750,000000;60,382329;10,743195;5,144793;2,011617;1,001093;3,002576;6,000000
8;0,301877;0,080460;0,119919;5,345492;7922,308378;522404356,284609;0,003060;0,250000;6,880397;0,059909;0,060010;0,810526;0,266032;0,110713;0,030151;0,010464;0,005013;2750,000000;60,777476;10,732915;5,136752;2,011823;1,001673;3,002128;6,000000
9;0,298026;0,082870;0,126450;5,343764;7898,689988;372211281,619125;0,004147;0,250000;6,886918;0,060300;0,066149;0,849650;0,292698;0,111833;0,046980;0,008189;0,006250;2750,000000;61,562298;10,797596;5,135025;2,015109;1,001281;3,002913;6,000000
10;0,302165;0,079890;0,118205;5,344739;7924,091468;368031114,478317;0,002893;0,250000;6,920563;0,059909;0,058296;0,867133;0,277743;0,102041;0,025126;0,005464;0,005000;2750,000000;61,590328;10,768775;5,123785;2,008676;1,000872;3,002801;6,000000
11;0,304789;0,078700;0,116242;5,348560;7943,242288;358851397,308080;0,004405;0,250000;6,950581;0,060288;0,055953;0,830986;0,253958;0,108920;0,028476;0,004096;0,005000;2750,000000;60,867012;10,700675;5,137425;2,007182;1,000470;3,002438;6,000000
12;0,275603;0,091180;0,138234;5,311004;7812,353325;2178472448,045804;0,002660;0,250000;5,891489;0,068764;0,069470;0,855634;0,313253;0,131331;0,028428;0,007731;0,017544;2750,000000;61,242498;10,867229;5,171979;2,010480;1,001211;3,006465;6,000000
13;0,305123;0,080230;0,120125;5,358136;7936,167730;-223108552,071468;0,003552;0,250000;7,222735;0,061675;0,058450;0,832753;0,253012;0,114023;0,033501;0,010005;0,003755;2750,000000;60,875356;10,686212;5,134075;2,010755;1,000999;3,001552;6,000000
14;0,280933;0,088720;0,137152;5,313836;7830,861439;1965026035,062583;0,003501;0,250000;6,030914;0,063332;0,073820;0,877698;0,322335;0,128584;0,038333;0,004095;0,002500;2750,000000;61,729657;10,912170;5,166670;2,015920;1,000447;3,000388;6,000000
15;0,296344;0,083340;0,123411;5,341749;7896,289832;623601298,826059;0,004017;0,250000;6,777983;0,063068;0,060343;0,804965;0,269892;0,118333;0,046745;0,004095;0,008772;2750,000000;60,304313;10,736778;5,146788;2,017016;1,000585;3,002845;6,000000
16;0,290774;0,083780;0,130260;5,329670;7881,397963;1225395267,462211;0,001888;0,250000;6,403818;0,063217;0,067042;0,842657;0,281191;0,128492;0,023411;0,005912;0,008783;2750,000000;61,634092;10,767558;5,166406;2,007936;1,000926;3,003174;6,000000
17;0,320357;0,072330;0,108035;5,372245;8010,253752;-1197888951,848795;0,002371;0,250000;7,793589;0,055679;0,052356;0,783217;0,244318;0,094855;0,036789;0,004095;0,008794;2750,000000;60,372760;10,664024;5,110695;2,011527;1,000552;3,003554;6,000000
18;0,320858;0,072790;0,108864;5,377591;8017,377803;-1501280666,656028;0,003041;0,250000;7,909102;0,057149;0,051715;0,858131;0,247312;0,090096;0,028428;0,008189;0,006250;2750,000000;61,571388;10,668715;5,096566;2,009662;1,001255;3,002263;6,000000
19;0,302007;0,079590;0,121023;5,346940;7929,436522;279371104,768732;0,003288;0,250000;6,936131;0,061015;0,060008;0,819788;0,258883;0,115900;0,033501;0,005912;0,012516;2750,000000;61,064200;10,702562;5,143612;2,015136;1,001010;3,006022;6,000000
20;0,271890;0,091890;0,142454;5,303437;7798,468385;2493646977,439131;0,002241;0,250000;5,701838;0,069313;0,073141;0,834483;0,356417;0,128079;0,030000;0,007283;0,006258;2750,000000;61,237170;11,004845;5,166562;2,009923;1,001121;3,002165;6,000000
21;0,268068;0,093830;0,145176;5,298012;7777,910626;2764716130,061616;0,002531;0,250000;5,579701;0,068858;0,076318;0,874126;0,321970;0,141414;0,040336;0,008640;0,008750;2750,000000;61,597025;10,917645;5,187533;2,016211;1,001618;3,003501;6,000000
22;0,331986;0,068480;0,096352;5,388876;8074,558046;-1876580113,421658;0,006222;0,250000;8,259127;0,054727;0,041625;0,784946;0,181187;0,093107;0,018395;0,006381;0,011264;2750,000000;60,052235;10,490705;5,108307;2,007092;1,000948;3,002776;6,000000
23;0,290132;0,085350;0,125643;5,332780;7867,962877;970300930,631174;0,004461;0,250000;6,538610;0,065900;0,059744;0,835125;0,275906;0,120099;0,035058;0,006824;0,007528;2750,000000;61,004911;10,765682;5,149615;2,011909;1,000805;3,001906;6,000000
24;0,299616;0,081080;0,119314;5,342796;7916,171357;697087263,933741;0,005021;0,250000;6,767211;0,062027;0,057287;0,849123;0,254280;0,111833;0,025084;0,008193;0,010050;2750,000000;61,341767;10,706299;5,140406;2,011028;1,001234;3,003652;6,000000
