Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,583049;0,096950;0,153877;5,858990;9191,447241;-18154612203,516865;0,002471;0,250000;31,254722;0,068367;0,085510;0,869718;0,390892;0,137892;0,028476;0,009563;0,010013;5000,000000;141,623705;21,291978;6,944333;2,127332;1,013413;3,029848;6,000000
2;0,608525;0,086930;0,136950;5,888280;9306,874317;-25111245123,339960;0,003537;0,250000;36,594011;0,059802;0,077148;0,791519;0,344325;0,122646;0,035117;0,008644;0,005000;5000,000000;138,611191;19,898205;6,641681;2,143293;1,014039;3,019280;6,000000
3;0,614173;0,085710;0,134086;5,901429;9329,732977;-28566571374,320553;0,007110;0,250000;39,003196;0,059784;0,074302;0,765517;0,336289;0,117713;0,031826;0,010474;0,012547;5000,000000;136,266249;19,681463;6,500206;2,098240;1,016045;3,056937;6,000000
4;0,628552;0,078350;0,122094;5,915728;9413,874966;-33166048621,646263;0,003465;0,250000;42,218803;0,057977;0,064117;0,767918;0,331850;0,093918;0,033445;0,009091;0,007509;5000,000000;135,568255;19,529056;6,094331;2,103312;1,014414;3,045588;6,000000
5;0,590117;0,094030;0,150650;5,865173;9221,654561;-19362877846,968285;0,003030;0,250000;32,293533;0,064031;0,086619;0,801418;0,374525;0,141256;0,030100;0,007731;0,015000;5000,000000;139,680331;20,825260;7,022182;2,113194;1,014508;3,066479;6,000000
6;0,606164;0,087770;0,136771;5,890260;9304,938595;-25747765190,704660;0,002349;0,250000;36,698273;0,064458;0,072313;0,788927;0,326156;0,125924;0,043333;0,006821;0,015019;5000,000000;138,276457;19,521964;6,628221;2,157612;1,011566;3,062760;6,000000
7;0,597988;0,090950;0,146685;5,877203;9256,758279;-22711198697,111030;0,002739;0,250000;34,612952;0,062361;0,084324;0,774648;0,352532;0,140842;0,036913;0,008636;0,011250;5000,000000;138,111496;20,269635;6,929717;2,120070;1,015055;3,061428;6,000000
8;0,610732;0,085450;0,132338;5,889667;9323,442945;-25425953472,343075;0,003024;0,250000;36,766431;0,060218;0,072120;0,772414;0,338413;0,115929;0,033389;0,005002;0,010000;5000,000000;137,891879;19,910449;6,533878;2,139854;1,006953;3,035603;6,000000
9;0,611544;0,085970;0,139345;5,893560;9317,795563;-26818343627,807495;0,003030;0,250000;37,769372;0,057431;0,081914;0,813380;0,351300;0,122901;0,036728;0,006824;0,015000;5000,000000;138,645524;20,338789;6,580027;2,142574;1,010383;3,056885;6,000000
10;0,606485;0,087640;0,138799;5,888941;9302,331315;-25516327946,209602;0,004299;0,250000;36,548633;0,062047;0,076753;0,800699;0,369620;0,119794;0,015050;0,006369;0,008750;5000,000000;138,223277;20,691400;6,548419;2,062530;1,009722;3,047054;6,000000
11;0,612817;0,085010;0,133293;5,891894;9333,572159;-25708938397,641216;0,003675;0,250000;37,125309;0,058580;0,074713;0,781690;0,354777;0,110515;0,033557;0,010919;0,006250;5000,000000;137,573689;20,293414;6,490699;2,136651;1,016026;3,030450;6,000000
12;0,592750;0,093000;0,143016;5,867843;9238,922870;-20131834329,299667;0,003430;0,250000;32,842628;0,066209;0,076807;0,815331;0,352229;0,131673;0,031933;0,007276;0,010013;5000,000000;139,536666;20,221760;6,855660;2,151763;1,013303;3,042028;6,000000
13;0,614583;0,084790;0,128456;5,898579;9342,749610;-27792200575,530700;0,003877;0,250000;38,446084;0,061655;0,066801;0,799308;0,306513;0,116368;0,031773;0,006821;0,011278;5000,000000;138,913117;18,917719;6,479466;2,108735;1,010071;3,044723;6,000000
14;0,586743;0,096050;0,153094;5,868492;9205,842304;-20265164577,177140;0,003154;0,250000;32,619062;0,068535;0,084560;0,808219;0,396431;0,136873;0,033389;0,008189;0,015000;5000,000000;139,911470;21,363882;6,838787;2,129752;1,012375;3,041262;6,000000
15;0,595815;0,093080;0,147094;5,877280;9244,730966;-22245343693,586900;0,002950;0,250000;34,453052;0,064165;0,082930;0,794326;0,376830;0,131885;0,045302;0,008193;0,010000;5000,000000;138,551853;20,827472;6,743958;2,194005;1,013145;3,051968;6,000000
16;0,607319;0,086960;0,136850;5,885666;9305,485712;-24399382227,707348;0,002727;0,250000;36,052650;0,060307;0,076543;0,786477;0,331436;0,129655;0,030050;0,004095;0,008761;5000,000000;139,228165;19,624195;6,756353;2,113834;1,004387;3,041817;6,000000
17;0,636567;0,075480;0,113002;5,924448;9465,828493;-34983552468,988470;0,003261;0,250000;43,801871;0,057609;0,055393;0,715278;0,279924;0,098812;0,026667;0,006367;0,003750;5000,000000;133,183703;18,123083;6,164550;2,099610;1,008171;3,017149;6,000000
18;0,641330;0,073770;0,108827;5,930292;9490,449222;-36483732246,586590;0,003054;0,250000;45,038511;0,056630;0,052197;0,783688;0,277322;0,086022;0,025084;0,005912;0,010025;5000,000000;137,846220;17,839301;5,981876;2,064552;1,007046;3,036195;6,000000
19;0,615724;0,084370;0,130259;5,898090;9344,916402;-27380056756,536125;0,005346;0,250000;38,396816;0,058622;0,071638;0,784672;0,320839;0,117252;0,041806;0,008186;0,005019;5000,000000;138,051031;19,238022;6,566749;2,163112;1,010532;3,006898;6,000000
20;0,587998;0,095480;0,142410;5,866810;9212,688585;-19822318776,195015;0,005050;0,250000;32,493989;0,071053;0,071356;0,774194;0,364155;0,131022;0,028476;0,005912;0,007519;5000,000000;138,076672;20,728858;6,757828;2,093324;1,008229;3,029245;6,000000
21;0,576668;0,099540;0,154149;5,850811;9164,314285;-16125152857,266165;0,004583;0,250000;29,831220;0,071775;0,082374;0,850534;0,391360;0,140422;0,038526;0,008193;0,006258;5000,000000;141,044181;21,393270;7,002467;2,192063;1,011619;3,022298;6,000000
22;0,637523;0,074800;0,110629;5,921907;9465,007027;-33956615832,438250;0,004517;0,250000;43,414166;0,055163;0,055466;0,725979;0,258249;0,101478;0,028476;0,005457;0,005006;5000,000000;135,235125;17,351309;6,291649;2,066359;1,009462;3,015031;6,000000
23;0,607452;0,086830;0,138914;5,887251;9308,126719;-24609241930,106907;0,002215;0,250000;36,123379;0,060441;0,078473;0,757895;0,352978;0,124385;0,035058;0,009103;0,011278;5000,000000;136,904785;20,263244;6,710285;2,135255;1,011349;3,034671;6,000000
24;0,608887;0,085910;0,136396;5,887641;9318,754661;-24696103794,958380;0,004122;0,250000;36,139799;0,060441;0,075954;0,816901;0,342622;0,120832;0,028381;0,007734;0,008772;5000,000000;139,635325;20,043576;6,653663;2,088496;1,013554;3,034244;6,000000
25;0,608408;0,087160;0,139790;5,888460;9307,432127;-25129233631,502320;0,002345;0,250000;36,595027;0,058456;0,081334;0,804196;0,366984;0,120412;0,023411;0,006831;0,015019;5000,000000;138,575663;20,572891;6,616131;2,069415;1,009019;3,063740;6,000000
26;0,609260;0,087040;0,131005;5,892184;9316,410152;-25881476121,162292;0,003510;0,250000;37,069562;0,063484;0,067521;0,776224;0,310191;0,121267;0,041667;0,005457;0,015000;5000,000000;136,746113;19,134015;6,588951;2,158767;1,010454;3,043528;6,000000
27;0,642032;0,073960;0,110999;5,930869;9482,606038;-37328829538,570510;0,003170;0,250000;45,783453;0,053735;0,057264;0,722807;0,288523;0,090807;0,035117;0,003183;0,008750;5000,000000;134,092794;18,074408;6,032140;2,115382;1,003246;3,049826;6,000000
28;0,613187;0,085910;0,131229;5,899711;9331,839151;-28148333063,759570;0,004859;0,250000;38,661839;0,062134;0,069094;0,806897;0,323399;0,111810;0,043551;0,009554;0,015038;5000,000000;138,355533;19,389075;6,409430;2,157816;1,017860;3,061486;6,000000
29;0,621569;0,081880;0,124395;5,905873;9377,107753;-29498261457,479690;0,004682;0,250000;39,789932;0,059019;0,065375;0,773519;0,300191;0,111684;0,025084;0,006821;0,015000;5000,000000;136,818897;18,670333;6,447515;2,095006;1,008642;3,063196;6,000000
30;0,600456;0,089810;0,141935;5,877466;9276,428223;-22064161483,288345;0,002388;0,250000;34,316965;0,062298;0,079637;0,784452;0,350666;0,131467;0,040268;0,008636;0,003755;5000,000000;138,246403;20,236797;6,836335;2,148269;1,010177;3,019291;6,000000
