Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,582197;0,097750;0,152582;5,862480;9188,783897;-19355291835,698498;0,003057;0,250000;31,847024;0,071702;0,080879;0,867133;0,376904;0,139780;0,041806;0,006367;0,011250;5000,000000;74,948477;12,153309;5,354532;2,033773;1,001753;3,009758;6,000000
2;0,612249;0,084780;0,131807;5,890172;9330,813577;-25599726286,621834;0,003792;0,250000;36,934266;0,058693;0,073114;0,783217;0,323659;0,119443;0,028523;0,005464;0,011264;5000,000000;72,419302;11,810845;5,314796;2,022728;1,001764;3,007459;6,000000
3;0,627212;0,080030;0,122605;5,914157;9403,300275;-31625634544,202362;0,003413;0,250000;41,550845;0,056765;0,065840;0,760563;0,285079;0,112430;0,028381;0,010464;0,011292;5000,000000;70,991729;11,577958;5,273310;2,015645;1,002846;3,010460;6,000000
4;0,638673;0,074540;0,107049;5,931407;9481,418879;-37149489517,190430;0,002524;0,250000;45,165181;0,061934;0,045116;0,730769;0,248889;0,095259;0,023411;0,008640;0,003750;5000,000000;70,222913;11,304463;5,206369;2,015691;1,002366;3,003976;6,000000
5;0,599809;0,090080;0,144269;5,874917;9271,577215;-21507723145,212480;0,002710;0,250000;34,062533;0,060994;0,083275;0,775362;0,350699;0,138802;0,035176;0,007279;0,008750;5000,000000;72,427253;11,955832;5,375181;2,026702;1,002688;3,006879;6,000000
6;0,612327;0,084870;0,129913;5,895799;9336,296425;-26932179471,935497;0,003891;0,250000;37,731587;0,063092;0,066821;0,765957;0,310956;0,120914;0,041946;0,004093;0,010000;5000,000000;72,118004;11,719872;5,303473;2,025874;1,001095;3,008932;6,000000
7;0,609095;0,085890;0,137761;5,885725;9314,304461;-24688765522,357850;0,002969;0,250000;36,254159;0,057946;0,079815;0,761246;0,346252;0,127297;0,023372;0,005457;0,010000;5000,000000;71,614935;11,975435;5,335896;2,010280;1,001240;3,008906;6,000000
8;0,606630;0,087050;0,135277;5,885705;9301,329752;-24523937638,476170;0,004692;0,250000;36,064696;0,061939;0,073338;0,773519;0,341804;0,120485;0,046823;0,005005;0,006258;5000,000000;72,253378;11,916630;5,306792;2,038381;1,001759;3,004256;6,000000
9;0,619548;0,082450;0,128600;5,905246;9370,091611;-29487009452,952800;0,002605;0,250000;39,619226;0,059919;0,068681;0,760417;0,314921;0,114739;0,031720;0,008644;0,013767;5000,000000;71,849093;11,739644;5,278117;2,022902;1,002352;3,012922;6,000000
10;0,608601;0,087070;0,131887;5,892381;9315,162902;-25923765268,314860;0,003872;0,250000;37,081821;0,064379;0,067508;0,823105;0,329315;0,118135;0,018425;0,008186;0,005000;5000,000000;73,439970;11,852313;5,288007;2,009581;1,001826;3,004302;6,000000
11;0,617353;0,083360;0,125202;5,898950;9353,359086;-27473177643,596077;0,004493;0,250000;38,498350;0,059370;0,065832;0,749091;0,306472;0,115747;0,026756;0,007283;0,003750;5000,000000;71,089760;11,708677;5,291700;2,023321;1,001654;3,003201;6,000000
12;0,592497;0,093170;0,144211;5,871412;9241,440418;-20722706881,709870;0,003560;0,250000;33,125190;0,067870;0,076341;0,790941;0,358779;0,133124;0,036789;0,005462;0,013750;5000,000000;72,773742;12,029253;5,348362;2,030299;1,001617;3,006879;6,000000
13;0,631773;0,077950;0,117433;5,915612;9432,736644;-31942648571,155037;0,004260;0,250000;41,880959;0,055287;0,062147;0,787234;0,276081;0,105711;0,025168;0,005005;0,012516;5000,000000;72,656301;11,524379;5,259462;2,012967;1,001386;3,006562;6,000000
14;0,596436;0,091440;0,145550;5,874324;9256,718824;-21590463106,475790;0,002433;0,250000;33,776699;0,064207;0,081343;0,810997;0,358599;0,133991;0,046667;0,005005;0,010013;5000,000000;73,782145;12,029914;5,351528;2,032887;1,000977;3,011171;6,000000
15;0,607297;0,087740;0,133246;5,886601;9302,697913;-24754010873,018955;0,003353;0,250000;36,367992;0,061723;0,071522;0,747331;0,306369;0,130562;0,046745;0,005909;0,007509;5000,000000;71,166349;11,732761;5,332362;2,036078;1,001634;3,007134;6,000000
16;0,610851;0,085100;0,135878;5,891019;9328,665299;-25471325590,854140;0,004381;0,250000;36,698685;0,060234;0,075645;0,795139;0,334389;0,124440;0,026801;0,006375;0,007500;5000,000000;73,244029;11,842766;5,326229;2,016807;1,001560;3,004952;6,000000
17;0,646699;0,071150;0,106736;5,933992;9523,906959;-37141550874,391540;0,004610;0,250000;45,685987;0,053771;0,052965;0,711806;0,262222;0,089182;0,026756;0,008197;0,011250;5000,000000;70,262152;11,438586;5,205487;2,017692;1,002465;3,009207;6,000000
18;0,642404;0,073630;0,107337;5,933012;9499,382485;-37081182475,591385;0,003793;0,250000;45,492421;0,057750;0,049587;0,762411;0,254927;0,091723;0,025084;0,007727;0,008761;5000,000000;71,970323;11,374623;5,195386;2,015252;1,001998;3,006611;6,000000
19;0,625090;0,079840;0,123199;5,908642;9401,414962;-30029699963,760560;0,003119;0,250000;40,261890;0,057923;0,065277;0,769231;0,273999;0,116752;0,040000;0,007279;0,012516;5000,000000;71,679878;11,502937;5,298160;2,025345;1,002321;3,010296;6,000000
20;0,588273;0,094540;0,149985;5,864478;9219,774731;-19337512654,327393;0,003868;0,250000;32,067808;0,067030;0,082955;0,772727;0,381679;0,140394;0,036728;0,004548;0,010013;5000,000000;72,375987;12,188527;5,372655;2,028591;1,001180;3,007079;6,000000
21;0,595926;0,091180;0,135864;5,874395;9257,822385;-21318410947,399296;0,002699;0,250000;33,641755;0,069042;0,066821;0,831541;0,312778;0,128447;0,041946;0,006367;0,012516;5000,000000;73,705350;11,798879;5,336540;2,032942;1,001489;3,008692;6,000000
22;0,634390;0,076970;0,113792;5,917850;9444,244559;-32657863851,725770;0,005859;0,250000;42,636138;0,054523;0,059269;0,770073;0,268524;0,103185;0,031826;0,004093;0,005019;5000,000000;71,543622;11,461929;5,251466;2,019019;1,001049;3,004233;6,000000
23;0,608918;0,086800;0,134637;5,892353;9318,078396;-25889260050,378260;0,002798;0,250000;36,975205;0,062985;0,071652;0,797203;0,317089;0,127436;0,026711;0,005467;0,012531;5000,000000;73,090676;11,779683;5,317282;2,019192;1,001194;3,011511;6,000000
24;0,613722;0,084500;0,129149;5,892840;9339,275322;-25945469718,037037;0,004310;0,250000;37,273993;0,059631;0,069519;0,817857;0,302548;0,118477;0,046745;0,005914;0,007509;5000,000000;73,836852;11,686592;5,311410;2,028834;1,001438;3,005658;6,000000
25;0,624782;0,080350;0,121215;5,905968;9395,805267;-29233068861,098637;0,006312;0,250000;39,769464;0,057327;0,063888;0,758007;0,277146;0,114780;0,026756;0,008664;0,003750;5000,000000;71,549717;11,559980;5,291558;2,018928;1,002392;3,002751;6,000000
26;0,620902;0,081590;0,121154;5,905795;9376,563574;-29593929420,648693;0,003272;0,250000;39,892593;0,061737;0,059417;0,779720;0,277177;0,112382;0,041806;0,004095;0,008750;5000,000000;72,117764;11,520058;5,273077;2,026538;1,001065;3,005127;6,000000
