Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,535886;0,088200;0,131765;5,772325;8972,337137;-12689862874,031235;0,004098;0,250000;24,546767;0,065933;0,065832;0,860714;0,315121;0,117766;0,030252;0,008644;0,007509;4500,000000;99,531521;13,658921;5,599537;2,048460;1,005021;3,009912;6,000000
2;0,551886;0,081520;0,125265;5,787208;9052,144950;-15183436932,879623;0,006535;0,250000;26,472750;0,057287;0,067978;0,769504;0,307252;0,113026;0,023372;0,005920;0,012531;4500,000000;93,782290;13,462075;5,604409;2,037581;1,003783;3,026216;6,000000
3;0,553479;0,080830;0,123387;5,792908;9053,317491;-16741504564,035095;0,003299;0,250000;27,469869;0,058669;0,064718;0,758123;0,287802;0,116581;0,033333;0,006818;0,006250;4500,000000;93,107753;13,299094;5,585208;2,041811;1,003895;3,012012;6,000000
4;0,561662;0,078650;0,112736;5,812071;9099,045032;-20515814307,092632;0,003591;0,250000;29,918643;0,063326;0,049410;0,765734;0,274746;0,093070;0,028381;0,009558;0,016250;4500,000000;93,014036;13,001444;5,402239;2,032044;1,005607;3,031229;6,000000
5;0,530305;0,089870;0,141431;5,761316;8947,486885;-10850118769,509186;0,002025;0,250000;23,326077;0,063710;0,077722;0,802867;0,326349;0,140013;0,035176;0,007276;0,002503;4500,000000;96,455023;13,783672;5,752234;2,062017;1,004479;3,006010;6,000000
6;0,539116;0,086580;0,131996;5,775196;8987,692561;-13506193933,125565;0,003440;0,250000;25,041005;0,063830;0,068166;0,835714;0,333966;0,114798;0,018364;0,006824;0,011264;4500,000000;98,171430;13,897815;5,575498;2,024952;1,005130;3,013632;6,000000
7;0,542918;0,085480;0,131799;5,776959;9000,973291;-13752307379,558405;0,003897;0,250000;25,395770;0,059340;0,072459;0,800000;0,317430;0,120709;0,035117;0,005912;0,008772;4500,000000;95,130543;13,747699;5,627446;2,043680;1,004042;3,015840;6,000000
8;0,540454;0,085800;0,134119;5,776158;8995,016763;-13288753884,191807;0,002033;0,250000;24,971145;0,062173;0,071947;0,817241;0,334180;0,117634;0,030050;0,007731;0,010013;4500,000000;96,603976;13,891403;5,601839;2,041921;1,004218;3,019345;6,000000
9;0,548268;0,083520;0,133622;5,788019;9026,240325;-15762629308,955528;0,002572;0,250000;26,655059;0,057698;0,075924;0,811644;0,338812;0,114299;0,031773;0,009099;0,006258;4500,000000;96,545085;13,889194;5,569841;2,049490;1,004900;3,007965;6,000000
10;0,551053;0,081220;0,125768;5,785891;9048,117308;-15145819746,311169;0,002430;0,250000;26,385459;0,057745;0,068024;0,802867;0,321701;0,106959;0,026711;0,006364;0,011250;4500,000000;95,688579;13,771621;5,556232;2,024334;1,003069;3,020685;6,000000
