Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,364754;0,084100;0,125252;5,465201;8202,385494;-145029908,055449;0,003619;0,250000;9,532024;0,063937;0,061315;0,868512;0,281170;0,115221;0,025126;0,006369;0,007509;3250,000000;62,040558;10,782336;5,145943;2,011326;1,001092;3,002214;6,000000
2;0,373205;0,081130;0,124093;5,479375;8239,760888;-1145511232,139967;0,003762;0,250000;10,122991;0,060939;0,063155;0,807692;0,292590;0,113524;0,021739;0,005912;0,007500;3250,000000;60,815326;10,783006;5,143488;2,008350;1,001044;3,002801;6,000000
3;0,380554;0,080160;0,118959;5,494582;8259,349184;-2350558760,085665;0,008094;0,250000;10,895754;0,058924;0,060034;0,806338;0,250951;0,114004;0,033501;0,008197;0,010000;3250,000000;60,497779;10,674614;5,138216;2,008417;1,001170;3,004927;6,000000
4;0,398987;0,071900;0,102993;5,518710;8357,299182;-4486226007,868035;0,003236;0,250000;12,198279;0,057140;0,045853;0,777385;0,225971;0,090990;0,020101;0,007727;0,013767;3250,000000;60,119494;10,588227;5,099557;2,006672;1,001387;3,004870;6,000000
5;0,367344;0,083950;0,125504;5,471237;8209,379501;-353781535,419894;0,003523;0,250000;9,745909;0,062954;0,062550;0,774648;0,259987;0,130776;0,016779;0,005460;0,011264;3250,000000;60,564318;10,705282;5,166107;2,007329;1,000887;3,005747;6,000000
6;0,359951;0,086650;0,132117;5,463306;8169,169913;-238809275,907344;0,003547;0,250000;9,491497;0,064698;0,067419;0,850174;0,312540;0,121477;0,028476;0,004550;0,007500;3250,000000;61,575358;10,863512;5,152092;2,011018;1,000760;3,002163;6,000000
7;0,380804;0,078100;0,117499;5,485758;8268,551576;-1561525027,769372;0,004920;0,250000;10,482085;0,056178;0,061321;0,804878;0,253655;0,111684;0,030050;0,006827;0,005000;3250,000000;60,804798;10,701916;5,143790;2,009845;1,001009;3,002063;6,000000
8;0,370076;0,082220;0,125731;5,469854;8222,821463;-360094962,591835;0,003494;0,250000;9,744994;0,058580;0,067151;0,809689;0,290875;0,115126;0,031720;0,005460;0,012531;3250,000000;61,098906;10,817024;5,148424;2,011730;1,000717;3,007521;6,000000
9;0,374875;0,081320;0,123058;5,482348;8239,342314;-1459262326,911197;0,004946;0,250000;10,344721;0,059512;0,063546;0,821678;0,286802;0,108818;0,038526;0,007276;0,011264;3250,000000;61,253115;10,775339;5,133595;2,016239;1,001022;3,004353;6,000000
10;0,376339;0,080550;0,119895;5,483795;8250,171646;-1469440844,830576;0,003587;0,250000;10,383325;0,059897;0,059998;0,852113;0,286349;0,103317;0,030100;0,005002;0,007509;3250,000000;61,422605;10,787787;5,124855;2,011029;1,000764;3,003869;6,000000
11;0,373470;0,080970;0,125126;5,478338;8238,926607;-845784548,709573;0,003641;0,250000;10,039581;0,059037;0,066089;0,783972;0,307937;0,109644;0,025126;0,009099;0,008750;3250,000000;60,596240;10,839811;5,139629;2,009812;1,001248;3,003601;6,000000
12;0,351786;0,090070;0,134800;5,450619;8143,986969;925905280,103045;0,004232;0,250000;8,870249;0,068409;0,066391;0,844291;0,299363;0,129459;0,038397;0,006821;0,008783;3250,000000;61,073467;10,837414;5,168828;2,016482;1,000941;3,003233;6,000000
13;0,371655;0,082330;0,126762;5,480588;8228,239642;-1297848291,761896;0,004740;0,250000;10,174951;0,061216;0,065546;0,821678;0,292405;0,115359;0,035176;0,010469;0,002503;3250,000000;61,090173;10,799268;5,142125;2,010505;1,001577;3,001326;6,000000
14;0,351526;0,089750;0,139390;5,450647;8142,665737;942119834,224152;0,002831;0,250000;8,832708;0,067177;0,072213;0,857639;0,315990;0,133139;0,031826;0,007276;0,011250;3250,000000;61,728995;10,884658;5,173375;2,013603;1,001046;3,003263;6,000000
15;0,373170;0,082100;0,121001;5,481027;8236,712936;-1121039622,613616;0,005605;0,250000;10,196502;0,062267;0,058734;0,783394;0,258786;0,118515;0,036851;0,006824;0,012500;3250,000000;60,306410;10,706907;5,147398;2,015415;1,000788;3,003226;6,000000
16;0,360019;0,086700;0,134307;5,463128;8177,569711;138435913,550296;0,002927;0,250000;9,362689;0,064282;0,070025;0,846690;0,303878;0,128412;0,026756;0,007738;0,006250;3250,000000;61,881885;10,812069;5,166357;2,007810;1,001004;3,002175;6,000000
17;0,387905;0,076190;0,111537;5,505190;8307,542036;-3186460463,851206;0,004106;0,250000;11,370166;0,060151;0,051385;0,753521;0,261558;0,097872;0,031667;0,005460;0,015019;3250,000000;59,989243;10,693658;5,110873;2,012352;1,000697;3,007827;6,000000
18;0,390888;0,074300;0,110563;5,506552;8322,859712;-3407330574,472728;0,002958;0,250000;11,483571;0,058403;0,052160;0,836237;0,260456;0,091478;0,030151;0,006821;0,006258;3250,000000;61,401670;10,706239;5,098795;2,009380;1,001008;3,002716;6,000000
19;0,381503;0,077730;0,115482;5,488095;8276,684017;-1822373524,137799;0,004604;0,250000;10,601441;0,058195;0,057287;0,796429;0,258413;0,108023;0,031720;0,004093;0,006250;3250,000000;60,529423;10,707880;5,135122;2,010942;1,000565;3,002876;6,000000
20;0,338379;0,095180;0,147980;5,433860;8087,383923;2062355888,571209;0,002589;0,250000;8,177118;0,071824;0,076156;0,824561;0,369455;0,137645;0,028428;0,004548;0,011264;3250,000000;61,254134;11,047442;5,177892;2,012125;1,000602;3,004883;6,000000
21;0,350686;0,089730;0,137555;5,444329;8140,691631;1389556860,744568;0,002550;0,250000;8,646223;0,065853;0,071702;0,860714;0,318354;0,132228;0,026891;0,004545;0,005006;3250,000000;61,749349;10,889041;5,176746;2,011769;1,000726;3,001952;6,000000
22;0,396001;0,072570;0,102422;5,512100;8346,015155;-3522445097,922575;0,004920;0,250000;11,679222;0,057921;0,044501;0,797203;0,212468;0,090318;0,048576;0,006375;0,008783;3250,000000;60,517581;10,561500;5,106894;2,017341;1,000753;3,003135;6,000000
23;0,367276;0,083980;0,125265;5,473793;8205,461661;-790484460,863786;0,005128;0,250000;9,917465;0,064044;0,061220;0,822064;0,275381;0,119202;0,031720;0,006827;0,013767;3250,000000;61,192673;10,762691;5,146294;2,011575;1,001165;3,004920;6,000000
24;0,365371;0,084220;0,130150;5,468300;8207,200616;-212524959,404900;0,004979;0,250000;9,586012;0,062355;0,067795;0,837456;0,288523;0,125979;0,030000;0,005460;0,008750;3250,000000;61,245995;10,798385;5,161928;2,011059;1,000631;3,003664;6,000000
25;0,378520;0,079710;0,115753;5,488893;8257,891438;-1727531840,370604;0,006385;0,250000;10,541053;0,061358;0,054395;0,776978;0,245570;0,111286;0,031720;0,009567;0,008750;3250,000000;60,354370;10,666747;5,136236;2,011267;1,001660;3,002363;6,000000
26;0,392007;0,073600;0,110014;5,503578;8327,373850;-2909860225,440930;0,002984;0,250000;11,320695;0,054906;0,055108;0,778571;0,255225;0,097113;0,030050;0,005457;0,008750;3250,000000;60,295903;10,680680;5,119171;2,008088;1,000987;3,004014;6,000000
27;0,413721;0,067160;0,092247;5,542391;8437,281619;-6248629137,233977;0,003480;0,250000;13,420255;0,055046;0,037201;0,707143;0,174382;0,090013;0,025042;0,005460;0,016270;3250,000000;59,072330;10,441391;5,092526;2,008150;1,000802;3,006048;6,000000
28;0,364614;0,086100;0,129088;5,472542;8186,876788;-768542784,638585;0,004675;0,250000;9,891390;0,063888;0,065200;0,810714;0,296648;0,121096;0,031879;0,007273;0,011250;3250,000000;60,817711;10,802405;5,150326;2,010418;1,001028;3,002400;6,000000
29;0,379950;0,078920;0,120226;5,488123;8268,625503;-1759266442,498178;0,003015;0,250000;10,573065;0,057442;0,062783;0,813793;0,281529;0,107654;0,028428;0,006369;0,003755;3250,000000;60,790126;10,754327;5,134645;2,010103;1,000908;3,001289;6,000000
30;0,363372;0,084750;0,128187;5,466357;8196,792937;-3552195,095347;0,003988;0,250000;9,461782;0,064497;0,063690;0,820423;0,282554;0,123432;0,043697;0,004545;0,006266;3250,000000;60,930315;10,768758;5,161913;2,015653;1,000494;3,001628;6,000000
