Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;-0,061529;0,068600;0,121616;4,664281;6266,091772;-8756699092,093760;0,003862;0,040000;1,049407;0,043714;0,077903;0,640678;0,414141;0,077864;0,013333;0,002727;0,005000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001200
2;-0,104597;0,084630;0,144177;4,587344;6097,327691;-8017577232,403626;0,006493;0,040000;0,815652;0,059036;0,085141;0,589655;0,483196;0,108294;0,021739;0,000455;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,004200
3;-0,041623;0,062950;0,113705;4,705361;6356,631576;-9163221225,627214;0,003426;0,040000;1,189873;0,037968;0,075736;0,609428;0,377596;0,077830;0,005008;0,000455;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001600
4;-0,111167;0,087990;0,151561;4,576294;6079,799887;-7899306550,652780;0,003964;0,040000;0,782829;0,060323;0,091238;0,651724;0,480708;0,120882;0,020000;0,001818;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001200
5;-0,106425;0,085410;0,148750;4,582483;6104,169214;-7888299647,000503;0,004258;0,040000;0,790407;0,058416;0,090334;0,621160;0,476582;0,117765;0,015000;0,003183;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000800
6;-0,037526;0,061040;0,109752;4,709566;6379,928460;-9170596246,936977;0,002262;0,040000;1,200689;0,037085;0,072667;0,648464;0,365578;0,068789;0,011667;0,002727;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000200
7;-0,110637;0,088070;0,153584;4,576986;6081,381896;-7841188487,935321;0,003922;0,040000;0,779426;0,058824;0,094760;0,621160;0,491741;0,124110;0,021703;0,001364;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001600
8;-0,099833;0,083810;0,144018;4,598246;6119,258351;-8087861540,462562;0,004901;0,040000;0,840451;0,057206;0,086813;0,633562;0,480708;0,104408;0,025042;0,001364;0,003750;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000800
9;-0,077706;0,074170;0,131463;4,633112;6199,932573;-8420563853,270847;0,004270;0,040000;0,947721;0,047996;0,083467;0,593960;0,436558;0,094188;0,018333;0,002273;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000200
10;-0,115959;0,090670;0,157736;4,570981;6058,704419;-7881878570,641898;0,003674;0,040000;0,770934;0,061308;0,096428;0,704082;0,510773;0,119715;0,025000;0,001818;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000200
11;-0,115558;0,090020;0,156473;4,565726;6069,422288;-7733940645,678995;0,005574;0,040000;0,749123;0,059255;0,097218;0,684932;0,498736;0,123272;0,020101;0,001818;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001200
12;-0,028516;0,057730;0,105110;4,723035;6431,289232;-9300070091,566551;0,003400;0,040000;1,250725;0,033166;0,071944;0,615646;0,367859;0,061206;0,003333;0,001364;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000400
13;-0,058508;0,068530;0,122455;4,672540;6270,634727;-8865065703,275259;0,002046;0,040000;1,080770;0,042222;0,080233;0,683673;0,414619;0,077266;0,010000;0,002729;0,003750;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999600
14;-0,060826;0,069370;0,121731;4,673438;6268,067733;-8833792531,573732;0,002589;0,040000;1,071476;0,046689;0,075043;0,625850;0,396606;0,086744;0,010000;0,000909;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999000
15;-0,068702;0,071740;0,128861;4,652017;6235,043993;-8575036127,671833;0,003235;0,040000;1,002155;0,044625;0,084236;0,591216;0,435525;0,091010;0,008333;0,002273;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000200
16;-0,076561;0,072950;0,127920;4,634070;6211,054538;-8388419391,237945;0,003165;0,040000;0,943261;0,048722;0,079198;0,645270;0,411356;0,094528;0,008347;0,000909;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000400
17;-0,090130;0,080370;0,141211;4,619292;6147,537531;-8366886094,822084;0,002517;0,040000;0,910718;0,054019;0,087192;0,623729;0,474448;0,102045;0,016667;0,001818;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999000
18;-0,101284;0,084260;0,145666;4,594761;6114,176433;-8061005152,610920;0,003664;0,040000;0,829905;0,056681;0,088985;0,716216;0,470923;0,106459;0,015000;0,003636;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001400
19;-0,101668;0,084570;0,149169;4,599482;6104,254906;-8174438354,145165;0,002786;0,040000;0,850066;0,057804;0,091364;0,681208;0,484887;0,110938;0,021667;0,001364;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001000
20;-0,098712;0,083470;0,143144;4,604157;6133,011057;-8076261994,262777;0,003126;0,040000;0,841306;0,059543;0,083601;0,596610;0,479521;0,106118;0,015000;0,001364;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001000
21;-0,126535;0,096060;0,169493;4,554897;6035,148998;-7629127051,829363;0,003732;0,040000;0,714241;0,064626;0,104867;0,659864;0,502214;0,152116;0,023333;0,001364;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999400
22;-0,125321;0,095050;0,165145;4,558271;6042,730134;-7685180492,885449;0,004390;0,040000;0,722970;0,066821;0,098324;0,626667;0,502219;0,145147;0,018333;0,000910;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999000
23;-0,111301;0,088330;0,154224;4,577146;6081,921348;-7880986628,636951;0,003413;0,040000;0,783333;0,059803;0,094421;0,645051;0,483260;0,126892;0,015025;0,001818;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
24;-0,070882;0,072660;0,129061;4,648392;6221,735322;-8574229773,584943;0,002816;0,040000;0,996827;0,045126;0,083935;0,671233;0,417666;0,093416;0,006667;0,000909;0,003750;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999000
25;-0,104410;0,085600;0,148193;4,587831;6096,256760;-8036947413,953326;0,003793;0,040000;0,822116;0,056526;0,091667;0,662116;0,479695;0,113338;0,015000;0,002727;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999600
26;-0,065006;0,069890;0,124286;4,657943;6252,102020;-8639323952,222824;0,002271;0,040000;1,023068;0,044603;0,079683;0,629252;0,412948;0,086598;0,005000;0,002273;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001600
27;0,016097;0,043740;0,078818;4,799881;6742,343310;-10248435652,932646;0,003888;0,040228;1,609595;0,026840;0,051978;0,555932;0,249686;0,048021;0,001667;0,002274;0,003750;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000600
28;-0,077031;0,074370;0,129724;4,637960;6206,918187;-8445642599,543158;0,003953;0,040000;0,954366;0,050526;0,079198;0,636054;0,424433;0,091657;0,016667;0,003636;0,003750;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
29;-0,115500;0,090130;0,153730;4,575693;6069,566395;-7873017546,606062;0,003991;0,040000;0,770557;0,065684;0,088047;0,652027;0,500633;0,119884;0,010000;0,001364;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000800
30;-0,094897;0,080960;0,139430;4,601494;6136,068432;-8061539735,212235;0,004290;0,040000;0,848190;0,053503;0,085927;0,605442;0,435115;0,112544;0,020000;0,001818;0,006250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999200
