Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,495066;0,074830;0,118797;5,693443;8811,452867;-10516904498,898680;0,004657;0,250000;19,918071;0,060451;0,058346;0,833898;0,274953;0,101804;0,030050;0,007273;0,012516;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000400
2;0,500668;0,071640;0,114475;5,695098;8845,856162;-10527978359,853150;0,004942;0,250000;20,067773;0,056937;0,057538;0,778523;0,260515;0,102250;0,023333;0,007276;0,007519;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999400
3;0,459715;0,087840;0,141081;5,647844;8647,356559;-4532932069,564466;0,004032;0,250000;15,838616;0,071493;0,069588;0,836120;0,295041;0,140883;0,048333;0,008648;0,008750;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999800
4;0,458059;0,088530;0,145679;5,642653;8633,957851;-4038379190,718846;0,003325;0,250000;15,594886;0,068278;0,077401;0,824916;0,329774;0,142220;0,033333;0,007276;0,011250;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000800
5;0,474072;0,082690;0,133052;5,663611;8713,998547;-6355549772,064904;0,004828;0,250000;17,170873;0,064820;0,068232;0,772881;0,287327;0,133616;0,030151;0,007279;0,008750;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,998200
6;0,493940;0,074500;0,120589;5,687860;8803,557418;-9824978278,615726;0,003760;0,250000;19,529043;0,058340;0,062249;0,818182;0,278822;0,103187;0,040000;0,009095;0,010013;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
7;0,481762;0,079640;0,130430;5,669812;8744,599538;-7064506254,689463;0,003418;0,250000;17,820956;0,059296;0,071135;0,775168;0,294823;0,125223;0,020033;0,009550;0,008761;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999800
8;0,465509;0,085470;0,139575;5,650150;8664,700458;-4862756450,738895;0,004606;0,250000;16,219420;0,065322;0,074252;0,763514;0,337516;0,129853;0,041806;0,008648;0,001250;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001200
9;0,495309;0,074210;0,117541;5,690881;8814,797780;-10109439395,016670;0,005400;0,250000;19,727037;0,059071;0,058470;0,812081;0,269134;0,101695;0,033333;0,008648;0,007509;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000800
10;0,463373;0,086180;0,137831;5,651876;8667,049870;-4885123028,533496;0,003872;0,250000;16,117058;0,070369;0,067462;0,855219;0,306968;0,130541;0,041806;0,006364;0,008750;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000200
11;0,486584;0,076740;0,125526;5,673401;8775,486153;-7648832664,443373;0,003423;0,250000;18,114883;0,058352;0,067175;0,783784;0,296413;0,115393;0,030000;0,004091;0,005000;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999600
12;0,465911;0,085690;0,137513;5,654675;8670,780593;-5475296035,866589;0,002756;0,250000;16,494731;0,068405;0,069107;0,818792;0,326838;0,123355;0,036667;0,009550;0,013767;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000400
13;0,478235;0,080610;0,127282;5,670973;8736,121790;-7159749190,448339;0,005025;0,250000;17,642964;0,066499;0,060782;0,791246;0,269642;0,121712;0,036667;0,012739;0,011278;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001400
14;0,491915;0,075150;0,120100;5,686086;8801,386881;-9338369695,926493;0,003367;0,250000;19,187798;0,060551;0,059549;0,772881;0,266917;0,112152;0,031667;0,006821;0,008750;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001000
15;0,467715;0,085040;0,136222;5,656271;8684,224402;-5525021477,330256;0,004829;0,250000;16,595862;0,067911;0,068312;0,768456;0,324749;0,127873;0,038397;0,004548;0,007500;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999200
16;0,477203;0,080970;0,130805;5,666828;8721,358720;-6984870605,801128;0,003354;0,250000;17,599867;0,062895;0,067911;0,801347;0,303583;0,122158;0,021667;0,006367;0,010025;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000800
17;0,489073;0,076000;0,123735;5,681195;8783,207661;-8864619958,787378;0,003127;0,250000;18,831942;0,059713;0,064022;0,774411;0,308611;0,105006;0,036667;0,005005;0,011250;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000600
18;0,502489;0,070960;0,113204;5,699236;8859,979561;-11013318144,333664;0,003043;0,250000;20,355265;0,058706;0,054498;0,779264;0,246241;0,101604;0,036667;0,008636;0,008750;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000600
19;0,483181;0,078760;0,126328;5,675674;8757,296870;-8148643876,002383;0,003039;0,250000;18,259006;0,063465;0,062863;0,804714;0,306583;0,109873;0,025084;0,006818;0,011278;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000800
20;0,468211;0,084370;0,133153;5,655110;8688,743192;-5341849660,355074;0,005014;0,250000;16,468429;0,068332;0,064820;0,807432;0,301697;0,125614;0,045000;0,005460;0,007500;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,997800
21;0,487776;0,076200;0,124699;5,677023;8777,259345;-8236866706,892878;0,002778;0,250000;18,489476;0,058941;0,065758;0,787162;0,289292;0,115247;0,018333;0,005460;0,011250;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001800
22;0,501412;0,071730;0,112204;5,696163;8848,466746;-10654268923,431477;0,005397;0,250000;20,197924;0,057908;0,054295;0,744027;0,250157;0,103456;0,025000;0,006824;0,010025;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,002200
23;0,533845;0,059760;0,090134;5,738817;9036,066807;-16876075216,550264;0,003025;0,250000;24,580975;0,051534;0,038600;0,722034;0,172111;0,083575;0,030000;0,005455;0,008750;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,998400
24;0,505917;0,069580;0,108894;5,702881;8871,828471;-11796620377,001535;0,004535;0,250000;20,908988;0,057154;0,051740;0,755102;0,242785;0,095991;0,030050;0,006821;0,016250;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,002000
25;0,456611;0,089810;0,146625;5,642720;8633,035336;-3916817783,318582;0,003296;0,250000;15,509241;0,070103;0,076522;0,800676;0,353237;0,137923;0,040067;0,005914;0,008761;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999400
26;0,483171;0,078500;0,127930;5,675187;8754,285653;-7994169009,093267;0,002686;0,250000;18,246383;0,061711;0,066219;0,769231;0,306340;0,115787;0,021703;0,008636;0,008750;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001800
27;0,506031;0,069660;0,109774;5,705227;8868,490534;-12397204217,609980;0,005297;0,250000;21,241851;0,057343;0,052431;0,737374;0,244987;0,100803;0,026711;0,004548;0,008750;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001000
28;0,479748;0,080900;0,128498;5,674888;8737,882448;-7711409226,514535;0,005362;0,250000;18,051230;0,065002;0,063497;0,761745;0,298807;0,118671;0,036728;0,008186;0,007509;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000800
29;0,447662;0,091690;0,149269;5,628219;8597,292503;-2311812708,125792;0,001801;0,250000;14,401959;0,073933;0,075336;0,832215;0,350063;0,142921;0,033333;0,006369;0,010000;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999000
30;0,459552;0,087490;0,141411;5,644586;8653,695810;-3993255359,404527;0,003656;0,250000;15,551804;0,070555;0,070856;0,788591;0,324765;0,137124;0,046667;0,005909;0,002500;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000400
