Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,084869;0,082410;0,140112;4,969451;6919,556111;-2023386649,076349;0,002976;0,130860;2,150105;0,061649;0,078463;0,919463;0,395625;0,099666;0,040000;0,006364;0,008750;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,002400
2;0,068784;0,092260;0,170402;4,949064;6826,358406;-1333959875,723439;0,002980;0,106501;1,900608;0,056634;0,113768;0,849498;0,526579;0,127641;0,026667;0,005455;0,006250;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
3;-0,017105;0,141770;0,261131;4,866945;6495,658773;648780856,231742;0,001450;0,040001;1,139809;0,090945;0,170185;0,903333;0,825516;0,213523;0,058333;0,006364;0,012500;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,997400
4;0,006339;0,129760;0,240561;4,894017;6563,795221;260930191,031392;0,003386;0,040017;1,288749;0,079319;0,161242;0,875421;0,803258;0,181393;0,033333;0,007276;0,011250;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,002000
5;0,014146;0,126530;0,237166;4,907637;6588,991856;41393864,161978;0,001699;0,040042;1,364693;0,076654;0,160512;0,860000;0,779237;0,183356;0,036667;0,006364;0,007500;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001400
6;0,080404;0,085200;0,148664;4,964863;6888,069499;-1917128171,460304;0,003980;0,124141;2,103153;0,060867;0,087797;0,866667;0,440476;0,108319;0,026711;0,005455;0,008761;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000200
7;0,070237;0,090570;0,165049;4,949554;6837,073777;-1301494167,181004;0,003945;0,108481;1,902922;0,057852;0,107196;0,826087;0,501252;0,126335;0,026711;0,005000;0,007509;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000800
8;0,063269;0,095020;0,175110;4,943766;6799,593649;-1062812101,746280;0,003139;0,098214;1,808129;0,059571;0,115539;0,836120;0,551314;0,127977;0,031720;0,008640;0,006250;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000400
9;0,084098;0,082990;0,147559;4,966696;6907,123849;-1997235597,589622;0,002558;0,129504;2,137334;0,057523;0,090036;0,880000;0,450563;0,100467;0,030000;0,005455;0,011264;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,996800
10;0,049548;0,103640;0,191453;4,934033;6730,795685;-768798053,288430;0,002222;0,077243;1,682859;0,063451;0,128002;0,883333;0,639549;0,127726;0,035000;0,010000;0,011250;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,997600
11;0,064182;0,094510;0,174752;4,945163;6804,356134;-1203751267,481064;0,002847;0,099522;1,847621;0,058818;0,115935;0,853333;0,567500;0,121832;0,030050;0,005000;0,007500;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001600
12;0,078566;0,086330;0,154208;4,960288;6881,290121;-1694716337,913320;0,003002;0,121475;2,032692;0,058341;0,095867;0,880000;0,454944;0,112989;0,023333;0,007731;0,013750;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,998600
13;0,023844;0,121280;0,227496;4,917750;6618,788916;-189928291,049030;0,002225;0,040469;1,454761;0,071393;0,156103;0,896321;0,770873;0,161958;0,035000;0,008636;0,010000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,997400
