Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;-0,040516;0,061920;0,111589;4,711379;6369,732870;-9234792310,515867;0,004507;0,040000;1,200329;0,041633;0,069956;0,673333;0,374218;0,066963;0,015000;0,001364;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999400
2;-0,096214;0,081340;0,146061;4,604154;6137,503580;-8095695197,714682;0,003564;0,040000;0,847133;0,054860;0,091200;0,598662;0,478670;0,112050;0,015025;0,000909;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001200
3;-0,034928;0,060100;0,109988;4,718866;6397,035048;-9280436604,999277;0,002513;0,040000;1,230073;0,037830;0,072158;0,620805;0,380952;0,066904;0,003339;0,001364;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
4;-0,110319;0,087700;0,154724;4,585816;6093,790005;-7940358141,510216;0,002799;0,040000;0,790856;0,063951;0,090773;0,646667;0,479624;0,128057;0,013333;0,000909;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000600
5;-0,120817;0,092640;0,165265;4,568942;6060,001878;-7746945814,221783;0,003151;0,040000;0,741638;0,066166;0,099099;0,647651;0,502821;0,141650;0,025000;0,001364;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001000
6;-0,052832;0,064690;0,117241;4,680698;6311,878163;-8848376626,695393;0,004864;0,040000;1,087580;0,042151;0,075090;0,653199;0,392231;0,075606;0,008347;0,001819;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,003400
7;-0,071421;0,071640;0,128764;4,650471;6231,381162;-8522095362,923828;0,003071;0,040000;0,981543;0,048524;0,080240;0,620000;0,420063;0,092889;0,011667;0,002273;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000800
8;-0,098996;0,082850;0,145819;4,601222;6125,468378;-8105639292,596167;0,004233;0,040000;0,842877;0,057286;0,088533;0,660000;0,487713;0,104046;0,020000;0,001364;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001400
9;-0,098191;0,082860;0,144774;4,606583;6117,110079;-8303323284,928741;0,004813;0,040000;0,873411;0,058771;0,086003;0,688136;0,471509;0,106024;0,015025;0,001818;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999800
10;-0,098234;0,083390;0,149094;4,604322;6120,151989;-8178785908,233202;0,003736;0,040000;0,859001;0,055372;0,093722;0,667785;0,480854;0,112742;0,018333;0,002727;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000200
11;-0,066939;0,070160;0,126989;4,656506;6257,252342;-8558283854,406168;0,002334;0,040000;0,999748;0,046433;0,080556;0,575251;0,418910;0,093153;0,008333;0,001364;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,997800
12;-0,104033;0,084760;0,149740;4,591482;6104,019310;-8058822976,591321;0,003876;0,040000;0,820575;0,057792;0,091947;0,668896;0,498111;0,109184;0,008333;0,001818;0,005000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999000
13;-0,110027;0,086380;0,154254;4,578741;6095,628615;-7922520399,075281;0,003892;0,040000;0,780586;0,060060;0,094194;0,658863;0,466458;0,130087;0,010017;0,003182;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000400
14;-0,098220;0,082070;0,147218;4,601651;6136,213844;-8080900337,961262;0,002694;0,040000;0,836780;0,056645;0,090572;0,677966;0,467167;0,113359;0,011667;0,001818;0,003750;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
15;-0,111113;0,087190;0,154586;4,578291;6084,229546;-7924886073,857329;0,004167;0,040000;0,783177;0,060873;0,093712;0,647651;0,485553;0,125389;0,013333;0,001818;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000800
16;-0,102259;0,084860;0,151297;4,598274;6104,817372;-8119249407,584538;0,003363;0,040000;0,838046;0,057775;0,093522;0,682274;0,477058;0,116967;0,015000;0,004091;0,005000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000800
17;-0,091573;0,080350;0,143515;4,618891;6146,283460;-8398481602,960856;0,002559;0,040000;0,904833;0,055444;0,088070;0,643333;0,479925;0,101134;0,026667;0,000909;0,003755;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,998800
18;-0,103755;0,084350;0,148263;4,592179;6108,558072;-8069842372,458730;0,004347;0,040000;0,821885;0,059165;0,089098;0,721477;0,470514;0,109802;0,021667;0,003183;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001400
19;-0,092204;0,081430;0,145702;4,620700;6141,777934;-8361502515,952231;0,002882;0,040000;0,904907;0,056440;0,089262;0,618729;0,483083;0,107159;0,020000;0,002273;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,997600
20;-0,103822;0,084030;0,146405;4,592249;6115,922016;-8012193538,035491;0,005189;0,040000;0,811847;0,060885;0,085520;0,617450;0,467590;0,115359;0,021667;0,000909;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000200
21;-0,133887;0,100140;0,181572;4,552651;6010,686560;-7583016010,432611;0,003549;0,040000;0,697085;0,068403;0,113170;0,685619;0,510050;0,171969;0,031667;0,001364;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000200
22;-0,086956;0,077600;0,137651;4,620589;6173,838050;-8244575574,871847;0,003883;0,040000;0,893385;0,053859;0,083792;0,620805;0,440125;0,106071;0,011686;0,001364;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001800
23;-0,086078;0,077020;0,138525;4,622233;6178,914156;-8227280968,953951;0,002598;0,040000;0,892808;0,052948;0,085577;0,593960;0,444514;0,106936;0,016667;0,002727;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001400
24;-0,039403;0,060180;0,110210;4,703398;6373,886771;-9101714963,914877;0,002939;0,040000;1,175940;0,036837;0,073373;0,597973;0,357545;0,076034;0,005000;0,002273;0,003750;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,997600
25;-0,067717;0,070850;0,131579;4,655416;6241,367783;-8631704538,631716;0,002556;0,040000;1,011488;0,044026;0,087553;0,646667;0,422571;0,096466;0,011667;0,002273;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000600
26;-0,119272;0,091870;0,162695;4,569888;6056,529584;-7805917004,565438;0,004787;0,040000;0,753269;0,064477;0,098218;0,625000;0,506575;0,136253;0,023333;0,000910;0,002503;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001400
27;0,034898;0,038090;0,069248;4,823960;6917,156182;-10610116936,854502;0,003908;0,058778;1,758527;0,023516;0,045732;0,498316;0,229180;0,036230;0,006667;0,004091;0,002500;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,998800
28;-0,109294;0,086460;0,152938;4,585713;6087,505979;-8001754707,529317;0,003408;0,040000;0,801476;0,062756;0,090181;0,636667;0,480830;0,122889;0,023333;0,000909;0,003750;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999600
29;-0,097597;0,082820;0,146832;4,607492;6128,914557;-8149845530,274757;0,003024;0,040000;0,854407;0,057552;0,089280;0,614094;0,484620;0,112222;0,008333;0,000909;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999000
30;-0,089511;0,078790;0,140841;4,617625;6164,421460;-8240747471,237739;0,002387;0,040000;0,886085;0,054254;0,086587;0,627119;0,448622;0,109111;0,013333;0,002727;0,001250;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000600
