Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,029907;0,098210;0,182374;4,895680;6623,186508;-2663371441,100250;0,003303;0,049037;1,620822;0,058488;0,123886;0,906355;0,644249;0,106293;0,043333;0,007276;0,006250;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000200
2;0,017460;0,107200;0,207729;4,884548;6560,648172;-2293417298,191558;0,003715;0,040029;1,507025;0,056662;0,151066;0,866221;0,750313;0,128810;0,028333;0,006824;0,007500;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001000
3;-0,076908;0,156290;0,290122;4,764091;6291,179942;-455028317,324959;0,001694;0,040000;0,865800;0,099579;0,190543;0,906040;0,829054;0,273680;0,070000;0,010455;0,011250;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000600
4;-0,074488;0,152690;0,285028;4,757754;6297,187955;-451047640,899132;0,002531;0,040000;0,864979;0,095143;0,189885;0,876254;0,828733;0,271635;0,038397;0,007727;0,002500;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000200
5;-0,051022;0,137570;0,254804;4,781176;6365,021732;-780481759,869677;0,001135;0,040000;0,962335;0,086569;0,168235;0,880000;0,802508;0,215922;0,035000;0,003636;0,002500;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000600
6;0,029255;0,098680;0,181636;4,896700;6621,196821;-2643103374,187655;0,003516;0,048147;1,620132;0,060378;0,121258;0,893333;0,611529;0,116377;0,040000;0,009095;0,003750;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,002400
7;0,017608;0,106190;0,205506;4,881224;6564,340099;-2177378145,833888;0,003326;0,040009;1,474787;0,056456;0,149049;0,855705;0,743895;0,126335;0,035000;0,005912;0,010000;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
8;-0,010469;0,119840;0,224692;4,846280;6468,614837;-1608248871,794767;0,003199;0,040000;1,250953;0,070592;0,154100;0,862416;0,781818;0,152802;0,045075;0,007276;0,012500;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,998000
9;0,019799;0,105400;0,198678;4,888395;6574,491348;-2462941448,544863;0,002691;0,040085;1,545893;0,060084;0,138594;0,882943;0,712226;0,122217;0,023333;0,004545;0,013750;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999400
10;-0,021917;0,124670;0,236489;4,823985;6439,209894;-1287558924,671171;0,002058;0,040000;1,144670;0,071757;0,164732;0,916667;0,814026;0,165036;0,033389;0,008636;0,008750;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999600
11;0,001402;0,114680;0,219410;4,863629;6504,994601;-1866054525,990240;0,002011;0,040000;1,348819;0,064132;0,155278;0,873333;0,779725;0,141111;0,038333;0,009545;0,007519;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,998800
12;0,026707;0,100370;0,189051;4,892908;6608,366886;-2514819959,314717;0,002570;0,044255;1,580372;0,058147;0,130905;0,886667;0,648936;0,120801;0,030000;0,006818;0,012500;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999200
13;-0,038778;0,131880;0,245995;4,797936;6396,322962;-923952239,281360;0,003178;0,040000;1,023850;0,080196;0,165799;0,913333;0,815443;0,187987;0,028333;0,007727;0,006250;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000200
