Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;-0,025955;0,110090;0,203112;4,796573;6382,372118;-3480013047,352655;0,002999;0,040000;1,219708;0,061747;0,141365;0,910345;0,746692;0,119430;0,028381;0,007279;0,006258;750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999800
2;-0,033106;0,112730;0,212237;4,782681;6361,536116;-3238851349,718665;0,003071;0,040000;1,149355;0,061685;0,150552;0,841216;0,776589;0,131684;0,026711;0,008186;0,010000;750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,002400
3;-0,139681;0,181990;0,353054;4,667731;6050,884723;-1830275306,436764;0,003070;0,040000;0,698805;0,095482;0,257571;0,897611;0,831333;0,418308;0,068677;0,005909;0,008750;750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999400
4;-0,121432;0,165660;0,311462;4,676359;6112,982799;-1972910007,468476;0,003657;0,040000;0,738986;0,093086;0,218376;0,871622;0,819683;0,334899;0,048414;0,008186;0,002503;750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,002200
5;-0,067813;0,128160;0,235465;4,725595;6265,414195;-2526428155,990643;0,003489;0,040000;0,920108;0,074606;0,160860;0,852349;0,767045;0,187458;0,035176;0,005000;0,005006;750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999000
6;-0,020585;0,108250;0,205758;4,804123;6396,005719;-3548015129,859716;0,003221;0,040000;1,258550;0,055678;0,150080;0,905085;0,756313;0,120436;0,036728;0,007734;0,007500;750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
7;-0,071262;0,129950;0,237526;4,722626;6253,808188;-2492304128,208983;0,003464;0,040000;0,907652;0,077201;0,160325;0,869128;0,786211;0,184269;0,031826;0,006827;0,003750;750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001600
8;-0,160251;0,213970;0,384081;4,651795;5983,492898;-1679114053,406697;0,003931;0,040000;0,655162;0,094207;0,289874;0,853741;0,842902;0,486517;0,058626;0,007273;0,011250;750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999600
9;-0,041765;0,117360;0,213561;4,774261;6333,658855;-3202074825,338597;0,002472;0,040000;1,117151;0,069513;0,144048;0,884354;0,767089;0,135593;0,031773;0,005909;0,017522;750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000200
10;-0,164921;0,216050;0,408309;4,659609;5968,912989;-1702385081,653224;0,002939;0,040000;0,657911;0,099487;0,308822;0,916388;0,857323;0,526752;0,088926;0,006818;0,007500;750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
