Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,154137;0,079690;0,129188;5,075848;7275,603978;-525359701,452285;0,004127;0,234161;3,192236;0,061484;0,067703;0,891156;0,315163;0,107071;0,015050;0,010005;0,015000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000800
2;0,162517;0,074260;0,120060;5,078035;7325,544685;-585202255,015777;0,004769;0,246200;3,268124;0,056971;0,063089;0,776271;0,300691;0,098774;0,033389;0,008636;0,008750;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
3;0,119613;0,097810;0,165564;5,044928;7102,723003;1251780533,619684;0,003123;0,182438;2,463782;0,072560;0,093005;0,875000;0,429198;0,149031;0,036667;0,004095;0,010013;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999400
4;0,121551;0,096370;0,164562;5,043674;7106,530372;1259436439,800384;0,003558;0,184648;2,455269;0,069553;0,095009;0,838384;0,450157;0,141617;0,026756;0,008186;0,006258;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,002000
5;0,140533;0,086120;0,146439;5,056762;7202,139395;541300841,801267;0,004088;0,213542;2,785405;0,060782;0,085657;0,828859;0,364839;0,132382;0,026711;0,006821;0,011250;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,998600
6;0,153821;0,078810;0,131149;5,072907;7274,483989;-424880224,398960;0,002489;0,233403;3,153131;0,060214;0,070935;0,869128;0,326237;0,106928;0,045226;0,006364;0,010000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999400
7;0,142355;0,084820;0,142428;5,060209;7214,532883;357672961,169994;0,003269;0,215997;2,849215;0,062444;0,079984;0,847458;0,347362;0,129341;0,021667;0,007734;0,008750;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999800
8;0,117443;0,099250;0,171629;5,040948;7085,157435;1408900010,493688;0,002193;0,178578;2,400097;0,069574;0,102055;0,824324;0,496236;0,139737;0,048333;0,005914;0,010000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,002000
9;0,161561;0,074630;0,123246;5,077644;7322,253788;-672211176,659807;0,002925;0,245091;3,281879;0,057415;0,065832;0,832215;0,308657;0,101136;0,025000;0,005909;0,010000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999000
10;0,110461;0,103340;0,183140;5,031814;7050,690939;1759407265,164909;0,001697;0,168001;2,264362;0,068464;0,114675;0,888889;0,540829;0,145945;0,046745;0,006818;0,005000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000600
