Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,570312;0,087780;0,133273;5,828210;9135,710646;-17650985383,237785;0,002434;0,250000;29,516505;0,065678;0,067595;0,837545;0,316857;0,122449;0,036728;0,006364;0,008761;4750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
2;0,570465;0,088410;0,138522;5,829632;9131,310637;-17877572133,173767;0,003780;0,250000;29,659891;0,062607;0,075915;0,796491;0,347249;0,123991;0,033501;0,007276;0,011292;4750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
3;0,582437;0,083380;0,126045;5,847839;9189,675603;-22366141633,082085;0,002101;0,250000;32,740159;0,063375;0,062670;0,812500;0,274921;0,122650;0,023411;0,005917;0,011264;4750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
4;0,608816;0,072680;0,106927;5,879182;9331,475967;-29615784960,152496;0,002162;0,250000;38,165334;0,057793;0,049134;0,721831;0,260152;0,092270;0,013378;0,006364;0,015038;4750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
5;0,566206;0,090030;0,140450;5,820629;9110,725319;-15960053279,712593;0,002975;0,250000;28,494386;0,062052;0,078398;0,789286;0,334393;0,135171;0,033445;0,006364;0,010013;4750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
6;0,571898;0,087050;0,133562;5,833512;9144,803331;-18875406472,630875;0,002614;0,250000;30,126183;0,066277;0,067284;0,826855;0,341772;0,113972;0,025000;0,009091;0,010013;4750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
7;0,581710;0,084440;0,132171;5,843633;9186,193672;-20650748616,443920;0,006168;0,250000;31,776974;0,058675;0,073495;0,772414;0,328254;0,118754;0,025084;0,008204;0,008761;4750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
8;0,580871;0,083600;0,128730;5,839703;9186,875104;-19942988214,812840;0,003662;0,250000;31,193717;0,060282;0,068448;0,785714;0,318297;0,113779;0,026801;0,005002;0,013750;4750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
9;0,601314;0,076070;0,110607;5,864713;9290,863996;-25445120791,120373;0,003455;0,250000;35,517026;0,056514;0,054092;0,758993;0,254302;0,098052;0,045151;0,006369;0,008761;4750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
10;0,573468;0,087410;0,134429;5,835574;9147,914529;-19213427271,360490;0,003843;0,250000;30,546345;0,064340;0,070089;0,821053;0,337786;0,115841;0,038397;0,009103;0,010000;4750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
